exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
train_steps_per_iter2500_9;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4634.76;0.0;4713.65
train_steps_per_iter2500_6;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4538.33;0.0;4713.65
train_steps_per_iter2500_8;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4570.83;0.0;4713.65
train_steps_per_iter2500_5;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4637.41;0.0;4713.65
train_steps_per_iter2500_3;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4391.16;0.0;4713.65
train_steps_per_iter2500_2;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4534.18;0.0;4713.65
train_steps_per_iter2500_1;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4419.03;0.0;4713.65
train_steps_per_iter2500_4;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4231.05;0.0;4713.65
train_steps_per_iter2500_10;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4219.43;0.0;4713.65
train_steps_per_iter2500_7;bc;antv2;1000;2500;1;1000;200;100;2;64;0.005;1000000;4348.21;0.0;4713.65
train_steps_per_iter3500_6;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4517.75;0.0;4713.65
train_steps_per_iter3500_2;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4805.16;0.0;4713.65
train_steps_per_iter3500_10;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4560.56;0.0;4713.65
train_steps_per_iter3500_4;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4537.43;0.0;4713.65
train_steps_per_iter3500_8;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4404.78;0.0;4713.65
train_steps_per_iter3500_9;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4461.78;0.0;4713.65
train_steps_per_iter3500_5;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4715.96;0.0;4713.65
train_steps_per_iter3500_7;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4712.64;0.0;4713.65
train_steps_per_iter3500_1;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4377.63;0.0;4713.65
train_steps_per_iter3500_3;bc;antv2;1000;3500;1;1000;200;100;2;64;0.005;1000000;4694.59;0.0;4713.65
train_steps_per_iter4500_6;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4586.39;0.0;4713.65
train_steps_per_iter4500_2;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4746.58;0.0;4713.65
train_steps_per_iter4500_4;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4670.33;0.0;4713.65
train_steps_per_iter4500_10;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4563.47;0.0;4713.65
train_steps_per_iter4500_5;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4477.42;0.0;4713.65
train_steps_per_iter4500_7;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4592.79;0.0;4713.65
train_steps_per_iter4500_8;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4611.39;0.0;4713.65
train_steps_per_iter4500_1;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4718.5;0.0;4713.65
train_steps_per_iter4500_9;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4801.73;0.0;4713.65
train_steps_per_iter4500_3;bc;antv2;1000;4500;1;1000;200;100;2;64;0.005;1000000;4592.02;0.0;4713.65
humanoid_bc_last_version_6;bc;humanoidv2;45;200000;1;5000;1000;1000;2;64;0.005;1000000;224.46;62.17;10344.52
humanoid_bc_last_version_7;bc;humanoidv2;0;200000;1;5000;1000;1000;2;64;0.005;1000000;0.0;0.0;0.0
humanoid_bc_last_version_8;bc;humanoidv2;48;200000;1;5000;1000;1000;2;64;0.005;1000000;250.81;71.12;10344.52
humanoid_bc_last_version_4;bc;humanoidv2;0;200000;1;5000;1000;1000;2;64;0.005;1000000;0.0;0.0;0.0
humanoid_bc_last_version_9;bc;humanoidv2;47;200000;1;5000;1000;1000;2;64;0.005;1000000;236.61;69.67;10344.52
humanoid_bc_last_version_3;bc;humanoidv2;46;200000;1;5000;1000;1000;2;64;0.005;1000000;226.47;53.22;10344.52
humanoid_bc_last_version_5;bc;humanoidv2;0;200000;1;5000;1000;1000;2;64;0.005;1000000;0.0;0.0;0.0
humanoid_bc_last_version_10;bc;humanoidv2;49;200000;1;5000;1000;1000;2;64;0.005;1000000;243.21;42.68;10344.52
humanoid_bc_last_version_1;bc;humanoidv2;53;200000;1;5000;1000;1000;2;64;0.005;1000000;266.31;51.43;10344.52
humanoid_bc_last_version_2;bc;humanoidv2;46;200000;1;5000;1000;1000;2;64;0.005;1000000;223.33;75.08;10344.52
